Station Name,Station Code,Latitude,Longitude
12th St/Oakland City Center,12,37.803585,-122.271663
16th St/Mission,16,37.765049,-122.419695
19th St/Oakland,19,37.808488,-122.268641
24th St/Mission,24,37.752227,-122.418455
Antioch,AN,37.995388,-121.780420
Ashby,AS,37.852570,-122.269981
Berryessa/North San Jose,BE,37.368473,-121.874681
Bay Fair,BF,37.696911,-122.126446
Downtown Berkeley,BK,37.870311,-122.268146
Balboa Park,BP,37.721346,-122.447574
Civic Center/UN Plaza,CC,37.779389,-122.413923
Coliseum,CL,37.753684,-122.196846
Colma,CM,37.684617,-122.466210
Concord,CN,37.973820,-122.029049
Castro Valley,CV,37.690743,-122.075594
Daly City,DC,37.706328,-122.468899
Dublin/Pleasanton,ED,37.701677,-121.899061
Embarcadero,EM,37.792849,-122.396888
El Cerrito del Norte,EN,37.925187,-122.316902
El Cerrito Plaza,EP,37.902630,-122.298935
Fremont,FM,37.557469,-121.976613
Fruitvale,FV,37.774890,-122.224166
Glen Park,GP,37.733107,-122.433777
Hayward,HY,37.669692,-122.086947
Lafayette,LF,37.893181,-122.124634
Lake Merritt,LM,37.797288,-122.265214
MacArthur,MA,37.829078,-122.267050
Millbrae,MB,37.600189,-122.386837
Milpitas,ML,37.410277,-121.891081
Montgomery St,MT,37.789445,-122.401162
North Berkeley,NB,37.874005,-122.283531
North Concord/Martinez,NC,38.003320,-122.024539
Oakland International Airport,OA,37.712967,-122.212427
Orinda,OR,37.878426,-122.183740
West Oakland,OW,37.804882,-122.295148
Pittsburg Center,PC,38.016941,-121.889457
Pleasant Hill/Contra Costa Centre,PH,37.928437,-122.055965
Powell St,PL,37.784866,-122.407004
Richmond,RM,37.936758,-122.352963
Rockridge,RR,37.844734,-122.251301
San Bruno,SB,37.637699,-122.416253
South Hayward,SH,37.634346,-122.057184
San Leandro,SL,37.721780,-122.160738
San Francisco International Airport,SO,37.615993,-122.392401
South San Francisco,SS,37.664206,-122.443964
Union City,UC,37.590729,-122.017243
Walnut Creek,WC,37.905809,-122.067316
West Dublin/Pleasanton,WD,37.699746,-121.928064
Pittsburg/Bay Point,WP,38.018909,-121.943967
Warm Springs/South Fremont,WS,37.502330,-121.939420
