Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont,Exits
12th St/Oakland City Center,250,"1,105",127,831,602,626,149,810,855,623,"2,087",747,293,564,51,512,173,"1,817","1,456",792,379,667,334,620,160,90,529,236,76,"1,832",282,126,56,155,381,201,637,"3,428",867,270,193,304,924,262,170,403,474,33,518,161,"29,238"
16th St/Mission,"1,268",251,"1,243",677,623,515,117,777,736,"2,680","2,262",876,"1,109",659,169,"2,190",467,"1,711","1,632",372,231,"1,782","1,225",477,166,990,"1,277",442,82,"1,829",350,129,59,163,"1,793",305,540,"4,350","1,261",394,757,441,915,531,613,250,402,148,904,82,"43,222"
19th St/Oakland,129,"1,299",198,745,420,419,109,547,902,376,"2,091",664,113,464,44,370,99,"2,016","1,012",394,167,580,302,409,99,109,365,82,87,"1,732",285,153,81,134,323,137,498,"2,478",549,232,130,198,504,172,64,276,365,74,503,129,"23,628"
24th St/Mission,824,712,814,405,453,316,89,605,608,"2,155","3,331",939,"1,028",550,129,"1,973",238,"2,078","1,641",356,166,"1,642","1,100",318,189,709,811,515,65,"2,795",377,152,77,108,"1,355",292,286,"6,468","1,284",238,915,343,782,414,889,176,279,161,806,65,"43,021"
Antioch,581,631,426,447,192,65,40,56,150,172,"1,529",287,197,831,19,289,45,"1,356",80,22,78,201,351,98,106,137,595,129,26,"1,172",15,164,132,61,107,236,346,"1,569",57,203,94,77,162,534,135,60,455,21,265,51,"15,052"
Ashby,661,510,535,291,64,101,80,203,633,166,958,469,29,131,25,92,61,761,927,401,59,744,78,121,18,210,352,45,61,766,161,4,37,11,182,21,74,"1,227",500,39,86,70,275,81,30,142,51,23,35,95,"12,696"
Berryessa/North San Jose,137,141,118,103,37,107,126,194,212,54,372,181,9,83,21,69,105,269,153,56,432,343,25,332,8,244,104,3,110,222,34,13,18,8,85,4,40,471,80,13,7,258,207,18,4,252,25,32,44,302,"6,285"
Bay Fair,909,893,566,560,41,178,167,178,422,327,"1,927","1,264",79,156,295,229,985,"1,752",315,94,736,"2,229",171,811,24,"1,331",571,63,144,"1,928",135,50,44,75,418,41,56,"2,714",184,66,112,559,975,135,73,497,98,485,64,378,"26,504"
Downtown Berkeley,"1,142",795,"1,040",617,137,878,194,434,254,301,"1,379",930,65,215,63,239,159,"1,245","2,518","1,874",181,"1,192",245,335,69,380,"1,006",166,90,942,294,49,112,32,339,60,133,"1,603","1,703",47,75,213,488,160,77,297,197,76,246,105,"25,391"
Balboa Park,556,"2,353",343,"1,998",161,152,31,281,267,218,"4,275",316,481,223,76,336,166,"2,881",613,120,109,421,334,212,21,442,241,543,21,"3,595",77,24,37,30,500,54,55,"9,839",422,104,767,118,277,554,403,79,122,71,215,55,"35,589"
Civic Center/UN Plaza,"1,894","1,732","1,990","2,590","1,312",836,323,"1,675","1,070","4,454",451,"1,976","1,519","1,837",481,"3,220","1,209",858,"2,675",902,554,"3,944","1,786",921,318,"1,731","2,039",839,232,672,621,532,80,253,"3,642",340,"1,241",618,"1,519",669,918,698,"1,581",767,"1,014",660,855,298,"1,417",144,"63,907"
Coliseum,946,"1,023",649,888,295,425,166,"1,240",798,334,"1,922",296,60,300,223,410,622,"1,512",596,171,375,"1,531",419,982,46,898,870,89,122,"1,485",236,27,173,35,548,127,160,"2,703",602,124,135,489,"1,042",164,71,391,153,256,183,250,"27,562"
Colma,275,943,130,974,191,30,5,77,49,507,"1,468",51,91,62,4,217,47,934,196,19,39,113,319,42,12,61,142,342,9,"1,031",36,25,3,10,124,74,39,"2,391",96,20,318,49,68,806,95,42,74,8,162,4,"12,824"
Concord,626,736,508,609,782,119,86,120,212,268,"2,043",234,64,229,15,156,66,"1,598",184,105,54,255,336,137,819,89,533,119,60,"1,379",65,246,124,251,153,764,519,"2,506",197,390,187,55,121,461,112,56,"1,187",22,"1,162",62,"21,181"
Castro Valley,66,228,45,146,8,43,17,271,70,75,491,225,3,14,64,83,682,648,24,35,118,429,61,84,12,442,74,22,9,772,7,1,21,15,92,2,15,925,34,6,67,75,386,44,57,103,22,431,1,34,"7,599"
Daly City,490,"2,467",300,"1,954",327,100,52,204,212,438,"3,601",420,196,148,47,251,251,"2,554",425,95,117,458,406,176,29,238,278,602,67,"2,801",111,39,23,43,369,101,134,"6,888",240,75,797,86,282,"1,004",355,80,180,69,194,54,"30,828"
Dublin/Pleasanton,194,484,154,265,52,65,116,940,164,211,"1,312",592,46,51,610,256,217,"1,633",207,38,245,"1,161",81,367,9,538,220,59,108,"1,210",37,8,188,2,189,12,57,"2,015",50,16,26,223,708,309,40,228,23,192,50,65,"16,043"
Embarcadero,"2,149","1,667","2,219","2,463","1,660",909,295,"1,926","1,330","3,444",874,"1,912",936,"1,739",864,"2,556","2,057",409,"3,123","1,082",729,"2,891","1,453","1,390",528,"1,964","1,791",333,232,230,743,525,182,519,"4,540",560,"1,743",842,"1,711",973,568,"1,081","2,559",473,662,776,"1,186",663,"1,676",241,"67,378"
El Cerrito del Norte,"1,461","1,749",981,"1,878",100,889,158,361,"2,338",726,"3,132",668,222,215,39,360,189,"3,376",250,459,222,"1,092",499,333,78,444,"1,357",216,94,"2,945",474,33,126,54,271,92,124,"4,585",664,162,243,194,380,404,197,186,242,60,160,175,"35,657"
El Cerrito Plaza,868,413,493,328,35,423,50,113,"1,839",151,"1,022",199,22,82,28,62,27,"1,105",441,94,80,356,93,116,41,213,537,80,46,997,360,23,33,15,96,5,59,"1,313",592,117,30,90,129,145,65,101,76,32,74,35,"13,744"
Fremont,389,262,161,169,63,70,368,667,196,136,604,392,42,68,123,118,209,660,243,85,145,799,49,970,6,409,267,10,413,539,40,3,55,20,57,18,107,667,88,31,49,574,510,84,23,636,24,47,60,307,"12,032"
Fruitvale,737,"1,820",636,"1,926",228,712,320,"2,218","1,216",421,"3,998","1,843",121,294,562,382,"1,293","2,604","1,031",336,713,416,418,"1,507",172,887,"1,019",95,170,"2,507",462,56,95,295,856,74,124,"5,269",577,402,171,788,"1,972",176,79,684,290,578,229,569,"44,348"
Glen Park,360,"1,189",338,"1,035",262,92,22,206,235,370,"1,708",309,307,244,46,360,99,"1,467",436,82,40,400,220,156,46,251,305,218,19,"2,252",98,35,36,37,291,54,119,"3,846",293,138,478,119,233,262,159,58,61,53,191,28,"19,663"
Hayward,673,482,523,372,103,138,299,790,302,218,"1,053",933,49,163,86,205,445,"1,216",327,88,929,"1,439",204,202,63,678,384,84,390,855,109,40,47,28,275,51,69,"1,564",162,81,84,602,"1,090",107,74,910,85,209,89,533,"19,902"
Lafayette,165,150,127,199,104,23,6,25,63,18,437,49,7,977,7,26,6,452,46,41,7,149,37,63,60,29,192,18,3,671,14,68,34,82,33,143,305,489,58,172,20,7,51,98,3,19,347,2,165,15,"6,282"
Lake Merritt,116,"1,012",87,716,117,255,216,"1,184",330,475,"1,986","1,233",33,99,479,268,713,"1,905",453,217,408,"1,129",230,769,24,155,239,14,154,"1,682",136,37,86,19,216,39,102,"2,640",239,59,26,497,"1,485",84,18,416,122,306,73,220,"23,518"
MacArthur,590,"1,290",430,776,536,424,121,513,827,290,"2,130",829,187,463,54,235,201,"1,675","1,284",541,247,"1,194",317,362,172,222,187,111,118,"1,712",323,98,69,113,318,360,498,"2,644",899,178,60,230,639,218,87,257,567,56,631,86,"26,369"
Millbrae,186,447,89,418,95,55,1,64,167,528,757,98,241,127,18,680,49,316,206,98,12,100,189,69,28,39,110,142,1,548,24,13,10,19,117,9,48,776,122,35,100,32,65,771,96,14,49,3,61,8,"8,250"
Milpitas,97,86,105,75,19,48,131,146,97,25,267,108,11,51,34,65,101,212,72,49,426,190,25,338,1,146,111,1,115,176,41,18,32,4,17,15,21,230,29,21,16,230,135,39,7,315,14,34,25,374,"4,945"
Montgomery St,"2,307","1,958","2,182","3,285","1,457",920,294,"2,489","1,182","6,284",759,"1,734","1,391","1,830",835,"3,257","1,245",244,"3,466","1,060",639,"3,094","2,621","1,071",720,"1,764","1,916",514,234,294,705,448,112,508,"4,197",431,"1,423",401,"2,035",871,"1,024",988,"2,703",569,829,815,"1,271",365,"1,996",323,"73,060"
North Berkeley,287,404,324,355,24,206,30,99,293,145,677,235,27,33,9,107,40,705,465,375,59,478,57,135,19,119,300,24,33,538,59,13,34,7,91,3,85,692,473,28,14,36,154,92,21,38,79,6,64,68,"8,659"
North Concord/Martinez,132,120,134,146,154,4,6,46,46,42,526,29,23,201, -   ,47,17,363,32,21,3,44,23,21,57,38,116,12,14,425,10,35,44,12,18,136,118,614,15,53,17,11,31,149,62,10,180,3,196, -   ,"4,556"
Oakland International Airport,58,72,48,42,87,28,26,19,76,51,96,108,1,84,16,26,134,102,85,20,41,73,16,45,26,57,36,3,28,87,28,28,30,15,27,23,74,127,34,26,19,32,35,66,6,39,65,49,100,15,"2,429"
Orinda,171,191,137,83,44,17,7,68,37,21,256,30,6,242,1,36,1,442,51,9,23,261,42,24,71,20,127,26,6,484,12,4,40,32,8,48,128,365,52,141,16,12,37,83,4,6,299,2,70,2,"4,295"
West Oakland,469,"1,752",333,"1,262",132,145,58,493,292,445,"3,518",600,131,181,81,343,219,"4,189",253,50,59,947,324,228,17,175,322,110,24,"3,469",57,30,35,4,200,84,80,"5,026",219,130,160,132,296,286,130,61,101,47,104,69,"27,872"
Pittsburg Center,167,309,172,243,227,17,11,45,89,78,447,82,51,670,4,111,13,499,81,32,19,93,123,51,156,22,348,10,15,346,7,119,17,59,65,61,253,648,56,76,35,41,121,116,10,24,394,1,95,9,"6,738"
Pleasant Hill/Contra Costa Centre,636,546,489,308,266,104,34,55,179,80,"1,393",136,40,624,14,117,45,"1,576",114,61,101,94,155,82,269,114,543,42,12,"1,438",56,97,84,135,79,312,133,"1,950",60,354,116,16,105,325,57,9,573,16,479,33,"14,656"
Powell St,"2,975","3,858","2,140","5,362","1,296","1,027",359,"2,114","1,313","7,875",674,"2,208","2,071","2,017",867,"5,341","1,712","1,014","3,485","1,205",563,"4,129","3,680","1,245",430,"2,170","2,270",688,154,310,570,529,129,322,"4,544",597,"1,683",545,"2,097",731,"1,486",877,"2,391","1,080","1,364",656,"1,077",540,"1,971",205,"87,946"
Richmond,832,"1,392",535,"1,400",55,496,64,172,"1,409",401,"1,752",588,140,180,31,266,67,"1,516",563,481,87,652,388,146,65,220,768,115,50,"1,684",431,20,55,43,262,73,56,"2,665",158,107,166,162,235,162,115,65,169,10,77,118,"21,664"
Rockridge,364,399,252,234,181,43,20,93,47,137,794,153,12,370,6,69,45,856,171,156,41,430,117,73,188,71,228,20,6,852,54,74,21,214,149,87,435,913,109,113,19,68,167,141,28,46,374,4,249,8,"9,701"
San Bruno,198,866,95,852,96,88,5,137,83,888,"1,075",114,259,218,68,773,22,485,207,17,37,150,505,94,15,39,71,171,30,819,17,34,20,10,157,47,95,"1,761",186,28,103,48,86,300,224,25,71,9,179,9,"11,886"
South Hayward,337,381,217,336,104,74,263,547,211,96,741,470,47,57,110,81,158,875,165,86,554,796,110,574,12,444,245,41,234,842,35,18,25,7,159,45,28,"1,100",149,67,50,96,696,87,53,385,39,193,81,365,"12,886"
San Leandro,963,943,550,775,148,344,196,885,453,285,"1,811","1,224",70,89,371,280,704,"2,059",414,162,408,"2,052",252,"1,044",61,"1,543",639,63,139,"2,254",126,20,74,36,368,112,101,"2,993",262,181,71,675,151,223,81,516,120,439,98,370,"28,198"
San Francisco International Airport,228,389,155,317,560,46,4,115,108,532,618,114,570,443,32,931,205,296,345,83,54,151,192,85,92,74,206,595,26,303,67,124,56,75,238,99,263,"1,052",126,112,242,45,171,206,255,66,269,56,467,24,"11,882"
