Station Name,12th St/Oakland City Center,16th St/Mission,19th St/Oakland,24th St/Mission,Antioch,Ashby,Berryessa/North San Jose,Bay Fair,Downtown Berkeley,Balboa Park,Civic Center/UN Plaza,Coliseum,Colma,Concord,Castro Valley,Daly City,Dublin/Pleasanton,Embarcadero,El Cerrito del Norte,El Cerrito Plaza,Fremont,Fruitvale,Glen Park,Hayward,Lafayette,Lake Merritt,MacArthur,Millbrae,Milpitas,Montgomery St,North Berkeley,North Concord/Martinez,Oakland International Airport,Orinda,West Oakland,Pittsburg Center,Pleasant Hill/Contra Costa Centre,Powell St,Richmond,Rockridge,San Bruno,South Hayward,San Leandro,San Francisco International Airport,South San Francisco,Union City,Walnut Creek,West Dublin/Pleasanton,Pittsburg/Bay Point,Warm Springs/South Fremont, Exits 
12th St/Oakland City Center,601,"2,844",300,"2,186","1,214","1,228",421,"1,320","3,714","1,212","5,792","1,705",450,"1,387",248,"1,419",526,"6,814","3,012","1,809",873,"1,337",968,"1,380",524,219,"1,628",561,327,"5,086","1,011",271,435,509,825,338,"1,372","7,736","1,482","1,052",436,744,"1,920","1,457",442,829,"1,376",224,989,407,"74,960"
16th St/Mission,"2,925",850,"3,908","1,834","1,162","1,883",391,"1,340","3,235","5,483","5,432","1,536","2,033","1,305",467,"4,615","1,189","6,285","2,280","1,021",671,"2,987","3,350",898,766,"2,473","3,824","1,994",269,"6,666","1,490",399,332,583,"4,141",536,"1,036","11,879","2,461","2,045","1,614",590,"1,451","3,425","1,503",605,"1,164",503,"1,384",225,"110,438"
19th St/Oakland,299,"3,847",626,"2,578",849,"1,552",477,"1,059","4,194",871,"6,423","1,303",261,"1,218",214,793,483,"7,470","2,396","1,301",552,"1,271",903,864,667,244,"1,273",412,377,"5,983","1,315",296,466,512,645,314,"1,081","7,196","1,192","1,176",224,663,"1,211","1,377",299,619,"1,281",201,757,318,"71,903"
24th St/Mission,"2,137","1,833","2,576",974,"1,018","1,199",271,709,"2,807","4,696","8,429","1,601","1,986",849,320,"4,202",692,"8,299","2,205",862,355,"2,808","3,174",674,496,"1,674","2,810","1,779",192,"9,121",942,346,315,240,"2,963",385,654,"16,730","2,468","1,359","1,785",527,"1,391","2,625","1,470",371,683,329,"1,100",147,"107,578"
Antioch,"1,131","1,047",780,"1,018",389,117,99,139,538,464,"2,822",501,249,"1,393",57,712,63,"3,498",182,59,115,418,529,313,204,284,"1,196",169,59,"2,684",49,252,416,122,286,384,507,"3,348",206,638,219,107,325,"1,419",277,106,888,15,441,136,"31,370"
Ashby,"1,370","1,817","1,560","1,123",106,309,260,391,"2,615",369,"3,177",674,78,221,53,341,169,"3,424","1,248",814,279,"1,157",271,290,88,518,941,182,224,"2,662",557,18,363,31,283,44,149,"3,067","1,217",84,133,200,384,659,75,193,191,41,64,144,"34,628"
Berryessa/North San Jose,479,429,525,311,76,273,415,511,"1,906",123,968,708,17,103,134,253,333,"1,536",312,203,"1,308",632,102,876,45,541,471,10,219,998,144,28,201,43,171,22,89,"1,100",227,101,10,559,519,74,38,"1,025",95,149,79,"1,369","20,860"
Bay Fair,"1,655","1,446","1,159",802,126,442,492,384,"1,174",470,"3,256","2,244",113,320,546,644,"1,364","4,891",477,211,"1,196","3,544",425,"1,362",48,"2,151",869,84,344,"3,730",239,45,142,70,566,81,101,"5,658",385,173,149,"1,044","1,825",388,147,912,145,752,136,841,"49,768"
Downtown Berkeley,"4,205","3,439","4,296","2,841",563,"3,005","1,571","1,188","1,356","1,137","5,982","1,729",320,922,350,"1,302","1,051","7,363","8,405","7,046","1,321","2,981","1,221","1,229",499,"1,608","3,382","1,121","1,126","4,991","2,218",263,"1,377",419,986,284,"1,048","7,683","5,070",267,396,883,"1,799","1,765",298,"1,364","1,043",344,619,693,"106,369"
Balboa Park,"1,039","4,703",829,"4,605",420,331,96,473,995,443,"7,329",686,"1,226",411,122,857,350,"6,925",929,259,160,889,932,298,62,714,714,"1,527",65,"7,694",335,34,104,118,"1,089",91,249,"17,336",707,754,"1,386",179,549,"1,556",735,168,263,136,514,108,"72,494"
Civic Center/UN Plaza,"5,306","5,069","6,181","7,909","2,597","3,179",927,"2,887","5,467","8,401","1,455","3,035","3,530","3,058","1,447","6,697","3,270","2,676","4,907","2,688","1,570","6,904","5,423","1,862","1,641","4,190","6,123","3,159",678,"2,005","3,113",996,676,"1,315","7,208",536,"2,650","2,152","2,713","4,136","2,522","1,420","3,531","5,020","2,355","1,265","3,006","1,206","2,719",578,"163,358"
Coliseum,"1,977","1,649","1,369","1,772",535,667,735,"2,077","1,565",733,"3,063",502,108,449,477,841,"1,572","3,752","1,120",382,711,"3,036",551,"1,903",150,"1,765","1,682",161,369,"2,767",342,84,646,137,"1,322",244,410,"4,175",972,272,226,"1,072","1,947",430,192,705,216,508,349,716,"53,405"
Colma,446,"1,874",212,"1,951",241,74,15,82,308,"1,134","3,511",106,208,199,45,671,104,"2,627",260,73,58,162,634,100,68,93,137,650,22,"2,808",111,43,18,23,214,94,108,"5,020",162,88,594,97,68,"2,245",215,41,150,13,283,9,"28,469"
Concord,"1,339","1,387","1,085",957,"1,577",196,106,322,962,432,"3,442",394,210,581,44,649,86,"4,624",340,190,148,461,491,334,"1,201",277,969,183,139,"3,721",143,441,430,346,240,"1,232",943,"4,593",284,956,229,107,323,"1,707",176,105,"2,583",56,"1,896",55,"43,692"
Castro Valley,253,518,219,320,16,81,118,562,374,140,"1,529",527,41,29,148,280,"1,047","2,701",54,80,181,744,142,292,20,"1,165",177,16,51,"2,374",49,10,87,29,189,5,29,"2,060",57,65,71,229,713,300,73,165,51,780,4,120,"19,285"
Daly City,"1,286","4,616",757,"4,236",735,352,260,576,"1,237","1,051","7,158",871,657,597,283,653,765,"7,314","1,351",494,329,"1,216",883,500,161,681,561,"1,983",194,"7,407",401,131,165,183,709,238,481,"13,122",730,302,"1,701",377,797,"3,024","1,042",335,503,266,575,232,"74,478"
Dublin/Pleasanton,626,"1,198",471,755,58,189,371,"1,188","1,142",351,"3,360","1,528",104,122,"1,078",813,491,"7,967",185,95,303,"1,753",351,667,12,"1,407",392,95,202,"4,858",117,19,965,8,286,28,62,"4,872",168,81,51,349,"1,297","1,395",88,466,49,377,59,227,"43,096"
Embarcadero,"7,920","6,673","8,827","9,149","4,659","4,404","1,679","5,490","8,695","8,155","2,828","4,487","2,737","5,645","3,046","7,508","9,521","2,098","8,339","4,108","2,963","7,593","5,509","3,295","5,295","6,493","7,875","2,710","1,332",472,"4,296","1,703","1,494","4,641","14,091",979,"7,475","2,333","4,293","6,677","1,936","2,922","6,411","4,178","2,056","2,892","7,043","3,339","4,078","1,057","243,399"
El Cerrito del Norte,"3,116","2,619","2,543","2,440",128,"1,291",339,473,"8,085","1,013","5,795","1,126",317,327,66,"1,304",200,"7,680",503,"1,256",329,"1,563",770,650,95,835,"2,409",468,235,"6,100",971,88,535,149,560,175,181,"8,791","1,811",339,419,257,626,"1,505",246,322,430,103,192,331,"72,106"
El Cerrito Plaza,"1,805","1,068","1,321",919,88,839,192,200,"6,729",246,"2,930",402,41,180,47,446,104,"3,576","1,010",282,192,762,330,271,144,497,"1,172",216,100,"2,862",754,31,314,50,151,46,110,"3,015","1,319",372,94,141,358,865,100,151,163,52,105,78,"37,240"
Fremont,875,619,575,372,92,278,"1,219","1,159","1,368",200,"1,714",725,70,151,222,346,333,"2,512",329,194,525,"1,296",127,"1,823",19,855,545,19,"1,199","1,787",235,34,243,36,123,31,101,"1,894",191,145,39,977,976,321,29,"1,068",60,136,127,906,"29,220"
Fruitvale,"1,478","3,267","1,330","2,934",444,"1,037",591,"3,253","2,911",969,"6,774","3,285",154,455,736,"1,183","1,673","6,577","1,429",779,"1,251",715,747,"2,757",289,"1,566","2,186",149,460,"5,153",954,117,266,363,"1,552",191,235,"9,036","1,376",657,340,"1,451","3,307",653,157,987,436,834,299,812,"80,555"
Glen Park,945,"3,289",920,"3,102",486,254,106,325,"1,186","1,022","4,920",483,620,460,111,818,294,"5,127",753,296,104,641,366,263,164,618,793,910,59,"6,171",387,56,195,149,779,143,360,"9,307",579,656,838,162,438,"1,456",460,137,294,137,443,38,"52,620"
Hayward,"1,492",812,958,656,311,297,848,"1,325","1,262",361,"1,852","1,855",98,310,257,478,774,"2,737",702,267,"1,896","2,726",325,328,40,"1,250",778,108,733,"1,990",251,55,182,70,512,63,229,"2,629",439,154,174,"1,168","2,065",176,69,"2,126",238,316,166,"1,134","40,042"
Lafayette,564,684,674,432,191,83,43,52,469,79,"1,675",135,54,"1,532",20,148,33,"4,192",92,137,12,254,134,42,195,65,411,57,22,"2,815",74,87,320,286,33,213,586,"1,787",147,744,54,20,77,"1,194",28,29,722,5,336,29,"22,067"
Lake Merritt,207,"2,584",195,"1,672",329,508,507,"2,118","2,472",794,"4,636","1,952",115,278,"1,140",601,"1,619","5,904",780,503,877,"1,849",697,"1,325",77,339,651,129,403,"4,508",429,78,417,69,377,119,197,"6,092",398,146,91,"1,007","2,792",402,87,904,208,632,151,478,"54,843"
