Station_Name,Report_Date,Latitude,Longitude,Total_Entering,Total_Exiting,Entering_Percent_Change,Exiting_Percent_Change
12th St/Oakland City Center,2020-01-01,37.803585,-122.271663,321539,320423,,
12th St/Oakland City Center,2020-02-01,37.803585,-122.271663,297540,297382,-0.074637913285791155,-0.071908071517962191
12th St/Oakland City Center,2020-03-01,37.803585,-122.271663,140197,142215,-0.52881293271492913,-0.52177670470976723
12th St/Oakland City Center,2020-04-01,37.803585,-122.271663,18743,20794,-0.86630955013302713,-0.853784762507471
12th St/Oakland City Center,2020-05-01,37.803585,-122.271663,21363,22685,0.13978551992743957,0.090939694142541119
12th St/Oakland City Center,2020-06-01,37.803585,-122.271663,28859,29952,0.35088704769929319,0.32034383954154727
12th St/Oakland City Center,2020-07-01,37.803585,-122.271663,31814,33271,0.10239440036037285,0.11081063034188034
12th St/Oakland City Center,2020-08-01,37.803585,-122.271663,30941,32485,-0.027440749355629596,-0.023624177211385291
12th St/Oakland City Center,2020-09-01,37.803585,-122.271663,31680,32374,0.023884166639733688,-0.0034169616746190551
12th St/Oakland City Center,2020-10-01,37.803585,-122.271663,36641,37638,0.15659722222222222,0.16259961697658615
12th St/Oakland City Center,2020-11-01,37.803585,-122.271663,32798,33633,-0.10488250866515651,-0.10640841702534673
12th St/Oakland City Center,2020-12-01,37.803585,-122.271663,29899,31380,-0.088389535947313858,-0.066987779859066982
12th St/Oakland City Center,2021-01-01,37.803585,-122.271663,27587,28905,-0.077327000903040233,-0.0788718929254302
12th St/Oakland City Center,2021-02-01,37.803585,-122.271663,29238,30784,0.059847029397904809,0.0650060543158623
12th St/Oakland City Center,2021-03-01,37.803585,-122.271663,37742,38439,0.29085436760380329,0.2486681392931393
12th St/Oakland City Center,2021-04-01,37.803585,-122.271663,41420,41103,0.097451115468178681,0.069304612502926716
12th St/Oakland City Center,2021-05-01,37.803585,-122.271663,44183,45378,0.066706904876871073,0.10400700678782571
12th St/Oakland City Center,2021-06-01,37.803585,-122.271663,53388,54180,0.20833804857071725,0.1939706465688219
12th St/Oakland City Center,2021-07-01,37.803585,-122.271663,60454,61042,0.13235183936465122,0.12665190107050572
12th St/Oakland City Center,2021-08-01,37.803585,-122.271663,64688,66242,0.070036722135838822,0.085187248124242332
12th St/Oakland City Center,2021-09-01,37.803585,-122.271663,72481,73984,0.12047056641108088,0.11687449050451375
12th St/Oakland City Center,2021-10-01,37.803585,-122.271663,74960,76700,0.0342020667485272,0.0367106401384083
12th St/Oakland City Center,2021-11-01,37.803585,-122.271663,72185,74009,-0.037019743863393809,-0.035084745762711866
12th St/Oakland City Center,2021-12-01,37.803585,-122.271663,69370,71647,-0.038997021541871582,-0.031915037360321044
16th St/Mission,2020-01-01,37.765049,-122.419695,316194,318987,,
